Model,Bootstrap_Iteration,Score
GradientBoosting,1,0.9290911612687737
GradientBoosting,2,0.9271384572912443
GradientBoosting,3,0.9327006758417732
GradientBoosting,4,0.9359609421710536
GradientBoosting,5,0.9294302029527053
GradientBoosting,6,0.93423754403021
GradientBoosting,7,0.9282160197352914
GradientBoosting,8,0.9271223463636855
GradientBoosting,9,0.9303706245710364
GradientBoosting,10,0.9267754716413141
GradientBoosting,11,0.9203427847367007
GradientBoosting,12,0.926925384047477
GradientBoosting,13,0.9312042431296893
GradientBoosting,14,0.929809511316091
GradientBoosting,15,0.9253400376566576
GradientBoosting,16,0.9243435998442884
GradientBoosting,17,0.9299192775980777
GradientBoosting,18,0.9306033529111563
GradientBoosting,19,0.9366122014416627
GradientBoosting,20,0.9282374572200558
GradientBoosting,21,0.9282864622704947
GradientBoosting,22,0.9205303296675242
GradientBoosting,23,0.9389729084721793
GradientBoosting,24,0.9223842665327935
GradientBoosting,25,0.935153675795387
GradientBoosting,26,0.9353746998609883
GradientBoosting,27,0.9316530173016183
GradientBoosting,28,0.9271846802321477
GradientBoosting,29,0.9336594451252864
GradientBoosting,30,0.9289475341765528
GradientBoosting,31,0.9249565625900028
GradientBoosting,32,0.933642447721491
GradientBoosting,33,0.9311099329555872
GradientBoosting,34,0.9280832112790103
GradientBoosting,35,0.9323681967180404
GradientBoosting,36,0.9306193551781116
GradientBoosting,37,0.934548900574295
GradientBoosting,38,0.9339880577891871
GradientBoosting,39,0.9271647861453687
GradientBoosting,40,0.9302907979676032
GradientBoosting,41,0.9209338106665301
GradientBoosting,42,0.9369166398455101
GradientBoosting,43,0.9311288032086241
GradientBoosting,44,0.9316205148674839
GradientBoosting,45,0.927542123264586
GradientBoosting,46,0.9327040650313683
GradientBoosting,47,0.9290071818357546
GradientBoosting,48,0.9321456526924382
GradientBoosting,49,0.9332566497673449
GradientBoosting,50,0.934376657318268
GradientBoosting,51,0.9281127275855349
GradientBoosting,52,0.932662434942533
GradientBoosting,53,0.92695293418319
GradientBoosting,54,0.9336123815746489
GradientBoosting,55,0.9387978803529158
GradientBoosting,56,0.9285091265311373
GradientBoosting,57,0.9285620880538551
GradientBoosting,58,0.9310878961521674
GradientBoosting,59,0.9293647876971788
GradientBoosting,60,0.9355247622268501
GradientBoosting,61,0.9301051994706859
GradientBoosting,62,0.9278852628401597
GradientBoosting,63,0.93151529105832
GradientBoosting,64,0.9373398056805651
GradientBoosting,65,0.9292267502363211
GradientBoosting,66,0.931761054522021
GradientBoosting,67,0.9346186479026201
GradientBoosting,68,0.9347068570335607
GradientBoosting,69,0.9343664059430693
GradientBoosting,70,0.9240316866621259
GradientBoosting,71,0.932465321109059
GradientBoosting,72,0.9268302084389642
GradientBoosting,73,0.9254380751958199
GradientBoosting,74,0.9269651106765298
GradientBoosting,75,0.9280324642511528
GradientBoosting,76,0.9321954105783082
GradientBoosting,77,0.9351842331172449
GradientBoosting,78,0.9322094850753432
GradientBoosting,79,0.9377739465580468
GradientBoosting,80,0.9301762535446519
GradientBoosting,81,0.9355154706909873
GradientBoosting,82,0.9298373692003745
GradientBoosting,83,0.9339977640467213
GradientBoosting,84,0.9252452583387836
GradientBoosting,85,0.93520951438074
GradientBoosting,86,0.9306922871957877
GradientBoosting,87,0.9370538894948373
GradientBoosting,88,0.9304197520390727
GradientBoosting,89,0.9354167131043398
GradientBoosting,90,0.9280968794096556
GradientBoosting,91,0.9379570488900841
GradientBoosting,92,0.9346368151030704
GradientBoosting,93,0.9357495133252907
GradientBoosting,94,0.9353649183377952
GradientBoosting,95,0.9371818768696412
GradientBoosting,96,0.9296013374220629
GradientBoosting,97,0.9326741783187775
GradientBoosting,98,0.9322898077947261
GradientBoosting,99,0.9385690446391323
GradientBoosting,100,0.9319070456923614
RandomForest,1,0.92764898693976
RandomForest,2,0.9282053494143597
RandomForest,3,0.9312665072110372
RandomForest,4,0.9336104969943038
RandomForest,5,0.9266531693043192
RandomForest,6,0.930449628960923
RandomForest,7,0.926615931743546
RandomForest,8,0.9243550470857268
RandomForest,9,0.9293302447952414
RandomForest,10,0.924492234446315
RandomForest,11,0.923566420931764
RandomForest,12,0.9256319154574968
RandomForest,13,0.9324652782867983
RandomForest,14,0.9288734079914572
RandomForest,15,0.9202958597289506
