,accuracy,precision,recall,f1,roc_auc
Hard_Voting,0.902676399026764,0.7448275862068966,0.5654450261780105,0.6428571428571429,0.0
Soft_Voting,0.9047039740470397,0.739413680781759,0.5942408376963351,0.6589259796806967,0.9306772618102521
Stacking,0.9042984590429846,0.7449664429530202,0.581151832460733,0.6529411764705882,0.9293005295896937
Weighted_Ensemble,0.9030819140308192,0.7328990228013029,0.5890052356020943,0.6531204644412192,0.9304511561535911
