False_Positive_Rate,True_Positive_Rate,Thresholds,AUC
0.0,0.0,inf,0.9060543557998613
0.0014395393474088292,0.049738219895287955,1.0,0.9060543557998613
0.0023992322456813818,0.14921465968586387,0.93717277486911,0.9060543557998613
0.0047984644913627635,0.21465968586387435,0.8888888888888888,0.9060543557998613
0.008157389635316698,0.24345549738219896,0.8478260869565217,0.9060543557998613
0.008157389635316698,0.2486910994764398,0.75,0.9060543557998613
0.018234165067178502,0.3717277486910995,0.6929824561403509,0.9060543557998613
0.030230326295585412,0.4712041884816754,0.6618357487922706,0.9060543557998613
0.031190019193857964,0.4712041884816754,0.6428571428571429,0.9060543557998613
0.034069097888675626,0.5104712041884817,0.6178861788617886,0.9060543557998613
0.03502879078694818,0.5130890052356021,0.5263157894736842,0.9060543557998613
0.05326295585412668,0.5890052356020943,0.49324324324324326,0.9060543557998613
0.06333973128598848,0.6701570680628273,0.45161290322580644,0.9060543557998613
0.1118042226487524,0.7617801047120419,0.29431438127090304,0.9060543557998613
0.14347408829174665,0.819371727748691,0.25,0.9060543557998613
0.14395393474088292,0.819371727748691,0.2,0.9060543557998613
0.15211132437619962,0.8403141361256544,0.18181818181818182,0.9060543557998613
0.16170825335892514,0.8507853403141361,0.09821428571428571,0.9060543557998613
0.19385796545105566,0.8534031413612565,0.06070287539936102,0.9060543557998613
0.513915547024952,0.981675392670157,0.05682684973302822,0.9060543557998613
0.5743761996161229,0.9842931937172775,0.012678288431061807,0.9060543557998613
1.0,1.0,0.0,0.9060543557998613
