Model,True_Negatives,False_Positives,False_Negatives,True_Positives,Sensitivity,Specificity
LogisticRegression,2000,84,170,212,0.5549738219895288,0.9596928982725528
RandomForest,2003,81,156,226,0.5916230366492147,0.9611324376199616
GradientBoosting,2002,82,161,221,0.5785340314136126,0.9606525911708254
AdaBoost,2002,82,169,213,0.5575916230366492,0.9606525911708254
SVM,2026,58,211,171,0.4476439790575916,0.972168905950096
KNN,2012,72,190,192,0.5026178010471204,0.9654510556621881
DecisionTree,2011,73,186,196,0.5130890052356021,0.9649712092130518
MLP,1979,105,171,211,0.5523560209424084,0.949616122840691
