,Best_CV_Score,CV_Score_Mean,CV_Score_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
LogisticRegression,0.9212001111565913,0.9212001111565913,0.0031682878714125212,0.8969991889699919,0.7162162162162162,0.5549738219895288,0.6253687315634219,0.9181045311573595
RandomForest,0.9296352957909798,0.9296352957909798,0.004512517355727181,0.9038929440389294,0.7361563517915309,0.5916230366492147,0.6560232220609579,0.9273937052185185
GradientBoosting,0.9309581320988229,0.9309581320988229,0.005010494404573156,0.9014598540145985,0.7293729372937293,0.5785340314136126,0.6452554744525547,0.9305095667815619
AdaBoost,0.9211850339878849,0.9211850339878849,0.005971654253297763,0.8982157339821574,0.7220338983050848,0.5575916230366492,0.6292466765140325,0.921050813477907
SVM,0.9007848358983792,0.9007848358983792,0.002345655165306909,0.8909164639091647,0.7467248908296943,0.4476439790575916,0.5597381342062193,0.9005474269176272
KNN,0.8971046255215832,0.8971046255215832,0.0036649290849849418,0.8937550689375506,0.7272727272727273,0.5026178010471204,0.5944272445820433,0.8819439559445689
DecisionTree,0.9198091929337197,0.9198091929337197,0.009235247070284322,0.8949716139497161,0.7286245353159851,0.5130890052356021,0.6021505376344086,0.9060543557998613
MLP,0.9084671837909043,0.9084671837909043,0.0027984017486956565,0.8880778588807786,0.6677215189873418,0.5523560209424084,0.6045845272206304,0.894619690285496
